2026-07-23 20:54:40 | 02_resolve_smiles | WARNING |   X ESTROGENS, CONJUGATED: api_error -- API request failed after all retries
2026-07-23 20:54:40 | 02_resolve_smiles | INFO | [30/1211] Resolving: capreomycin sulfate
2026-07-23 20:54:46 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 1/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:54:53 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 2/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:55:00 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 3/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:55:00 | 02_resolve_smiles | WARNING |   X capreomycin sulfate: api_error -- API request failed after all retries
2026-07-23 20:55:00 | 02_resolve_smiles | INFO | [31/1211] Resolving: IRON DEXTRAN
2026-07-23 20:55:06 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 1/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:55:13 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 2/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:55:20 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 3/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:55:20 | 02_resolve_smiles | WARNING |   X IRON DEXTRAN: api_error -- API request failed after all retries
2026-07-23 20:55:20 | 02_resolve_smiles | INFO | [32/1211] Resolving: HYDROCORTISONE SODIUM SUCCINATE
2026-07-23 20:55:26 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 1/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:55:33 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 2/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:55:40 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 3/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:55:40 | 02_resolve_smiles | WARNING |   X HYDROCORTISONE SODIUM SUCCINATE: api_error -- API request failed after all retries
2026-07-23 20:55:40 | 02_resolve_smiles | INFO | [33/1211] Resolving: EDETATE CALCIUM DISODIUM
2026-07-23 20:56:01 | 02_resolve_smiles | WARNING | Timeout on attempt 1/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:56:08 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 2/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:56:15 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 3/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:56:15 | 02_resolve_smiles | WARNING |   X EDETATE CALCIUM DISODIUM: api_error -- API request failed after all retries
2026-07-23 20:56:15 | 02_resolve_smiles | INFO | [34/1211] Resolving: OXYTOCIN
2026-07-23 20:56:21 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 1/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:56:28 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 2/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:56:35 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 3/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:56:35 | 02_resolve_smiles | WARNING |   X OXYTOCIN: api_error -- API request failed after all retries
2026-07-23 20:56:35 | 02_resolve_smiles | INFO | [35/1211] Resolving: PENICILLIN G SODIUM
2026-07-23 20:56:56 | 02_resolve_smiles | WARNING | Timeout on attempt 1/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
