query_name,parent_smiles,inchi_key,inchikey_block,cardiotox_label,DICT_Concern,pert_id,sig_ids,match_method
OSIMERTINIB,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,DUYJMQONPNNFPI-UHFFFAOYSA-N,DUYJMQONPNNFPI,1,most,BRD-K42805893,"['LJP007_HA1E_24H:N13', 'REP.A007_HA1E_24H:B13']",inchikey
HYDROXYUREA,NC(=O)NO,VSNHCAURESNICA-UHFFFAOYSA-N,VSNHCAURESNICA,0,no,BRD-K51747290,['REP.A016_HA1E_24H:C13'],inchikey
BINIMETINIB,Cn1cnc2c(F)c(Nc3ccc(Br)cc3F)c(C(=O)NOCCO)cc21,ACWZRVQXLIRSDF-UHFFFAOYSA-N,ACWZRVQXLIRSDF,1,most,BRD-K82244583,['REP.A021_HA1E_24H:E13'],inchikey
IXABEPILONE,C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)N1,FABUFPQFXZVHFB-PVYNADRNSA-N,FABUFPQFXZVHFB,1,most,BRD-K03601870,['REP.A011_HA1E_24H:B07'],inchikey
TRIAMTERENE,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,FNYLWPVRPXGIIP-UHFFFAOYSA-N,FNYLWPVRPXGIIP,0,no,BRD-K92049597,['REP.A026_HA1E_24H:K19'],inchikey
ALPROSTADIL,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,GMVPRGQOIOIIMI-DWKJAMRDSA-N,GMVPRGQOIOIIMI,1,less,BRD-K73691377,['REP.A008_HA1E_24H:G07'],inchikey
Fenfluramine,CCNC(C)Cc1cccc(C(F)(F)F)c1,DBGIVFWFUFKIQN-UHFFFAOYSA-N,DBGIVFWFUFKIQN,1,most,BRD-K58626373,['REP.A015_HA1E_24H:I07'],inchikey
PRALATREXATE,C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,OGSBUKJUDHAQEA-WMCAAGNKSA-N,OGSBUKJUDHAQEA,1,less,BRD-A74914197,['REP.A024_HA1E_24H:E07'],inchikey
Dipyridamole,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,IZEKFCXSFNUWAM-UHFFFAOYSA-N,IZEKFCXSFNUWAM,1,most,BRD-K86301799,['REP.A016_HA1E_24H:P13'],inchikey
PYRAZINAMIDE,NC(=O)c1cnccn1,IPEHBUMCGVEMRF-UHFFFAOYSA-N,IPEHBUMCGVEMRF,0,no,BRD-K28667793,['REP.A001_HA1E_24H:J07'],inchikey
FOSTAMATINIB,COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)N(COP(=O)(O)O)C(=O)C(C)(C)O4)n2)cc(OC)c1OC,GKDRMWXFWHEQQT-UHFFFAOYSA-N,GKDRMWXFWHEQQT,1,most,BRD-K20285085,"['LJP006_HA1E_24H:C13', 'REP.A004_HA1E_24H:D19']",name_stripped
INDOMETHACIN,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,CGIGDMFJXJATDK-UHFFFAOYSA-N,CGIGDMFJXJATDK,1,most,BRD-K57222227,['REP.A014_HA1E_24H:D07'],inchikey
PIOGLITAZONE,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,HYAFETHFCAUJAY-UHFFFAOYSA-N,HYAFETHFCAUJAY,1,most,BRD-A48430263,['REP.A017_HA1E_24H:D13'],inchikey
Temozolomide,Cn1nnc2c(C(N)=O)ncn2c1=O,BPEGJWRSRHCHSN-UHFFFAOYSA-N,BPEGJWRSRHCHSN,0,no,BRD-K32107296,['REP.A009_HA1E_24H:K01'],inchikey
PROGESTERONE,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,RJKFOVLPORLFTN-LEKSSAKUSA-N,RJKFOVLPORLFTN,1,most,BRD-A67479912,['REP.A018_HA1E_24H:O19'],inchikey
KETOCONAZOLE,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,XMAYWYJOQHXEEK-UHFFFAOYSA-N,XMAYWYJOQHXEEK,1,most,BRD-A38350138,['REP.A014_HA1E_24H:L19'],inchikey
TEMSIROLIMUS,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OC(=O)C(C)(CO)CO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,CBPNZQVSJQDFBE-FUXHJELOSA-N,CBPNZQVSJQDFBE,1,less,BRD-A62025033,['REP.A021_HA1E_24H:E01'],inchikey
VORICONAZOLE,C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,BCEHBSKCWLPMDN-MGPLVRAMSA-N,BCEHBSKCWLPMDN,1,most,BRD-K06557128,['REP.A011_HA1E_24H:J07'],inchikey
